month,Record high (°C),Average high (°C),Daily mean (°C),Average low (°C),Record low (°C),Average precipitation (mm),Average precipitation (days),Average relative humidity (%),Mean monthly sunshine hours
Jan,29.2,17,11.9,6.7,-1.6,21,3.6,67,184
Feb,29.4,17.6,12.3,7.1,-1.3,20,2.9,66,179
Mar,34.8,19.8,14.3,8.9,-0.2,20,3.1,65,224
Apr,33.6,21.3,16.1,10.9,2.6,27,3.7,63,251
May,38,24.1,19.1,14.1,6.4,28,3.7,64,291
Jun,38.9,27.8,22.9,18.1,10.8,10,1.6,63,316
Jul,41.4,30.3,25.5,20.8,13.6,4,0.7,65,344
Aug,40.4,30.8,26,21.5,14.6,5,0.9,67,313
Sep,38.4,28.5,23.5,19,10.8,40,3.3,69,243
Oct,36.2,24.9,19.7,14.9,5.5,46,4.1,70,218
Nov,31,20.5,15.4,10.3,1.5,34,3.8,69,174
Dec,27,17.7,12.6,7.4,-1,22,3.7,68,165
