month,Record high (°C),Average high (°C),Average low (°C),Record low (°C),Average rainfall (mm),Average rainy (days),Mean monthly sunshine hours,Mean daily sunshine hours,Percent possible sunshine
Jan,29.8,19.5,8.5,-4,30.2,5,198.1,7.1,68
Feb,35.8,21.8,10,-1.6,10.5,3,222.5,7.7,69
Mar,41.2,26.9,14,-0.1,18.2,3,217.6,7.5,63
Apr,44.2,33.9,19.5,6.9,11.5,1,229.3,7.9,62
May,49,40.9,25.4,14.7,0.4,0,272.5,9.4,69
Jun,49.8,45.5,28.9,20.4,0,0,304.5,10.5,77
Jul,52.1,46.7,30.7,22.4,0,0,307.1,10.6,76
Aug,50.7,46.9,29.5,21.7,0,0,301.6,10.8,78
Sep,47.7,43.7,26.2,16,0,0,285.1,10.2,77
Oct,43.7,36.6,21.5,9.4,1.4,1,252.2,9,79
Nov,37.9,27.8,14.5,2,18.5,3,216.5,7.7,72
Dec,30.5,21.9,9.9,-1.5,25.5,3,193.5,6.9,67
