month,Record high (°C),Mean maximum (°C),Average high (°C),Daily mean (°C),Average low (°C),Mean minimum (°C),Record low (°C),Average rainfall (mm),Average rainy (≥ 0.01 in),Mean monthly sunshine hours,Percent possible sunshine
Jan,35,28.5,20.1,14.4,8.8,5.2,-2,79.2,6.1,225.3,71
Feb,35,29.1,20.3,14.9,9.6,6.1,-2,96.5,6.4,222.5,72
Mar,37,29.9,21.2,15.9,10.6,7.2,-1,61.7,5.5,267,72
Apr,41,32.9,22.6,17.3,11.9,9.1,2,23.1,3.2,303.5,78
May,39,32.1,23.6,18.8,13.9,12,4,6.6,1.3,276.2,64
Jun,44,32.3,25.6,20.7,15.7,14,8,2.3,0.6,275.8,64
Jul,43,34.5,28.4,22.9,17.6,16.2,9,0.3,0.3,364.1,83
Aug,41,35.2,29.1,23.5,17.8,16.6,9,1,0.3,349.5,84
Sep,45,37.2,28.4,22.8,17.3,15.1,7,6.1,1,278.5,75
Oct,42,35.3,25.8,20.3,14.8,12.3,4,16.8,2.5,255.1,73
Nov,38,31.1,22.7,16.9,11.1,7.2,1,26.4,3.3,217.3,70
Dec,33,27.4,19.8,14.2,8.6,4.9,-1,59.2,5.2,219.4,71
