month,Record high (°C),Mean maximum (°C),Average high (°C),Daily mean (°C),Average low (°C),Mean minimum (°C),Record low (°C),Average precipitation (mm),Average precipitation (≥ 0.01 in),Average relative humidity (%),Mean monthly sunshine hours,Percent possible sunshine
Jan,28,25.1,16.7,11.9,7.1,-2.4,-10,130.8,9.3,75.6,153,47
Feb,29,26.1,18.6,13.7,8.9,-0.4,-9,134.6,8.8,73,161.5,52
Mar,32,27.9,22.1,17.1,11.9,2.7,-4,115.6,8.3,72.9,219.4,59
Apr,33,30.4,25.7,20.6,15.6,7,0,117.1,6.9,73.4,251.9,65
May,36,33.1,29.6,24.8,20.1,13.3,5,117.6,7.7,74.4,278.9,66
Jun,38,34.7,31.9,27.5,23.1,18.7,10,204.7,12.9,76.4,274.3,65
Jul,38,35.6,32.9,28.5,24.1,21.1,16,150.6,13.6,79.2,257.1,60
Aug,39,35.8,32.9,28.5,24.1,21.1,16,151.9,13.1,79.4,251.9,62
Sep,38,34.2,30.8,26.6,22.2,15.9,6,126.2,9.4,77.8,228.7,62
Oct,34,31.7,26.7,21.8,17,7.6,2,89.9,7.7,74.9,242.6,68
Nov,31,28.7,22.1,17.1,11.9,3.1,-4,114,7.9,77.2,171.8,54
Dec,29,26.5,18,13.2,8.3,-1.3,-12,133.1,9.2,76.9,157.8,50
