month,Record high (°C),Average high (°C),Daily mean (°C),Average low (°C),Record low (°C),Average precipitation (mm),Average precipitation days,Mean monthly sunshine hours,Percent possible sunshine
Jan,16.1,7.2,5,2.7,-14.6,51,9.9,62.5,22
Feb,21.4,8.3,5.6,2.8,-14.7,41.2,9,79.2,28
Mar,25.7,12.2,8.8,5.3,-9.1,47.6,10.6,128.9,35
Apr,30.2,15.6,11.5,7.3,-3.5,51.8,9.3,166,39
May,34.8,19.6,15.3,10.9,-0.1,63.2,9.8,193.8,42
Jun,37.6,22.7,18.3,13.8,3.1,49.6,8.4,202.1,42
Jul,40.4,25.2,20.5,15.8,6,62.3,8.1,212.2,43
Aug,39.5,25,20.4,15.7,6.3,52.7,7.7,212.1,49
Sep,36.2,21.1,16.9,12.7,1.8,47.6,7.8,167.9,43
Oct,28.9,16.3,13,9.6,-3.8,61.5,9.6,117.8,35
Nov,21.6,10.8,8.3,5.8,-14,51.1,10,67.7,26
Dec,17.1,7.5,5.5,3.4,-23.9,57.8,10.9,51.4,21
