month,Record high (°C),Average high (°C),Daily mean (°C),Average low (°C),Record low (°C),Average precipitation (mm),Average snowfall (cm),Average precipitation (days),Average snowy days,Average relative humidity (%),Mean monthly sunshine hours
Jan,22.6,9.6,5.2,0.9,-9.2,52.3,5,5.3,2.8,52,184.5
Feb,24.9,10.4,5.7,1.7,-7.9,56.1,5,6.2,3.7,53,165.8
Mar,25.3,13.6,8.7,4.4,-5.6,117.5,1,11,2.2,56,163.1
Apr,29.2,19,13.9,9.4,-3.1,124.5,0,11,0.2,62,176.9
May,32.2,22.9,18.2,14,2.2,137.8,0,11.4,0,69,167.8
Jun,36.2,25.5,21.4,18,8.5,167.7,0,12.7,0,75,125.4
Jul,39.5,29.2,25,21.8,13,153.5,0,11.8,0,77,146.4
Aug,39.1,30.8,26.4,23,15.4,168.2,0,9,0,73,169
Sep,38.1,26.9,22.8,19.7,10.5,209.9,0,12.2,0,75,120.9
Oct,32.6,21.5,17.5,14.2,-0.5,197.8,0,10.8,0,68,131
Nov,27.3,16.3,12.1,8.3,-3.1,92.5,0,7.6,0,65,147.9
Dec,24.8,11.9,7.6,3.5,-6.8,51,0,4.9,0.8,56,178
